PS E:\课题研究> cd "e:\课题研究\" ; if ($?) { g++ -std=c++14 model_0_2.cpp -o model_0_2 } ; if ($?) { .\model_0_2 }
Point #N        Game    Score(A:B)      L_i             G_A             G_B             M_A             M_B
81              5       11:4            0.031700        0.031700        0.000000        0.060674        -0.010481
82              6       0:1             0.171400        0.000000        -0.171400       0.023084        -0.092413
83              6       1:1             0.149200        0.149200        0.000000        0.079698        -0.056305
84              6       1:2             0.177300        0.000000        -0.177300       0.047409        -0.110233
85              6       1:3             0.152800        0.000000        -0.152800       0.027781        -0.130186
86              6       2:3             0.127100        0.127100        0.000000        0.065609        -0.082598
87              6       2:4             0.157600        0.000000        -0.157600       0.043958        -0.106638
88              6       2:5             0.125000        0.000000        -0.125000       0.021767        -0.119136
89              6       2:6             0.104400        0.000000        -0.104400       0.014584        -0.110518
90              6       3:6             0.070500        0.070500        0.000000        0.036668        -0.066177
91              6       4:6             0.109400        0.109400        0.000000        0.059758        -0.044338
92              6       4:7             0.162500        0.000000        -0.162500       0.040038        -0.083584
93              6       5:7             0.108200        0.108200        0.000000        0.068104        -0.049563
94              6       6:7             0.159200        0.159200        0.000000        0.106366        -0.027830
95              6       7:7             0.234000        0.234000        0.000000        0.156907        -0.018646
96              6       7:8             0.310800        0.000000        -0.310800       0.099493        -0.131066
97              6       7:9             0.268800        0.000000        -0.268800       0.066660        -0.181993
98              6       7:10            0.188300        0.000000        -0.188300       0.039089        -0.193774
99              6       7:11            0.081300        0.000000        -0.081300       0.017990        -0.160845
100             7       0:1             0.151800        0.000000        -0.151800       0.000000        -0.150994
101             7       0:2             0.140800        0.000000        -0.140800       0.000000        -0.143852
102             7       1:2             0.111900        0.111900        0.000000        0.048517        -0.079956
103             7       2:2             0.150800        0.150800        0.000000        0.090958        -0.045904
104             7       3:2             0.185600        0.185600        0.000000        0.128518        -0.027826
105             7       4:2             0.194200        0.194200        0.000000        0.160196        -0.010824
106             7       4:3             0.206700        0.000000        -0.206700       0.107331        -0.078858
107             7       4:4             0.209000        0.000000        -0.209000       0.066148        -0.132570
108             7       4:5             0.197800        0.000000        -0.197800       0.036552        -0.164284
109             7       4:6             0.188300        0.000000        -0.188300       0.014930        -0.181908
110             7       5:6             0.153400        0.153400        0.000000        0.058523        -0.121879
111             7       6:6             0.207000        0.207000        0.000000        0.118183        -0.071012
112             7       7:6             0.246600        0.246600        0.000000        0.173263        -0.036813
113             7       7:7             0.294400        0.000000        -0.294400       0.116086        -0.126792
114             7       7:8             0.298300        0.000000        -0.298300       0.077778        -0.189056
115             7       7:9             0.275700        0.000000        -0.275700       0.044210        -0.231849
116             7       7:10            0.188900        0.000000        -0.188900       0.018958        -0.227406
117             7       7:11            0.084500        0.000000        -0.084500       0.000000        -0.184599
